bench,mode,threads,trials,duration_ms,execute,elements,ops,bmname,tx_per_s,tx_per_s_mean,tx_per_s_sd,tx_per_s_min,tx_per_s_max,cv_pct,ns_per_tx,commits,aborts,writer_commits,abort_pct,aborts_per_commit,writer_pct,p50_ns,p99_ns,p999_ns,max_ns,sample_stride,timer_ns,sampling_ns_per_tx,sampling_pct,imbalance_pct,user_ns,sys_ns,sys_pct,vol_cs,invol_cs,invol_cs_per_ktx,minflt,majflt,maxrss_kb,verified
rw-n-linear,ala,8,3,200,0,65536,8,ReadWriteN,6085897.0212,6110821.7651,45512.1797,6083216.3650,6163351.9092,0.7448,1314.5145,1217998,7652,1217998,0.6243,0.0063,100.0000,1207,7415,13815,28331,64,9,0.2813,0.0214,66.2573,1598485000,0,0.0000,1,2,0.0016,0,0,13044,ok
rw-n-linear,ala,16,3,200,0,65536,8,ReadWriteN,3011092.5170,3007378.2974,10477.9076,2995549.2281,3015493.1471,0.3484,5313.6859,602438,8231,602438,1.3479,0.0137,100.0000,5810,31666,55218,66798,64,78,2.4375,0.0459,57.6996,3196538000,0,0.0000,1,8,0.0133,0,0,13044,ok
rw-n-linear,ala,24,3,200,0,65536,8,ReadWriteN,2139676.2161,2140059.1511,912.2619,2139400.7701,2141100.4670,0.0426,11216.6504,428464,9249,428464,2.1130,0.0216,100.0000,8692,139252,557044,996064,64,12,0.3750,0.0033,96.3105,4795256000,4000,0.0001,3,176,0.4108,0,0,13044,ok
rw-n-indexed,ala,1,3,200,0,65536,9,ReadWriteN,17084935.5528,17086642.5227,146247.0272,16941256.4519,17233735.5633,0.8559,58.5311,3419607,0,3419607,0.0000,0.0000,100.0000,57,73,97,1119,64,11,0.3438,0.5873,0.0000,199883000,0,0.0000,1,1,0.0003,0,0,13052,ok
rw-n-indexed,ala,2,3,200,0,65536,9,ReadWriteN,15922695.6203,15922578.5798,9509.8207,15913010.7791,15932029.3401,0.0597,125.6069,3186748,3267,3186748,0.1024,0.0010,100.0000,127,207,223,1508,64,9,0.2813,0.2239,0.4047,399630000,0,0.0000,1,1,0.0003,0,0,13052,ok
rw-n-indexed,ala,4,3,200,0,65536,9,ReadWriteN,10101781.0418,10101176.5161,9468.5310,10091420.2070,10110328.2995,0.0937,395.9698,2021729,5819,2021729,0.2870,0.0029,100.0000,391,855,1207,3773,64,9,0.2813,0.0710,26.0176,799197000,0,0.0000,1,0,0.0000,0,0,13052,ok
rw-n-indexed,ala,8,3,200,0,65536,9,ReadWriteN,6038447.2501,6038883.7649,6631.9858,6032480.8195,6045723.2252,0.1098,1324.8439,1208514,9627,1208514,0.7903,0.0080,100.0000,1207,5879,9719,17886,64,9,0.2813,0.0212,61.1013,1598538000,0,0.0000,1,7,0.0058,0,0,13052,ok
rw-n-indexed,ala,16,3,200,0,65536,9,ReadWriteN,2929917.8266,2928115.9545,3272.1773,2924338.8948,2930091.1421,0.1118,5460.9040,586159,10488,586159,1.7578,0.0179,100.0000,4849,25585,34801,60647,64,15,0.4688,0.0086,54.2710,3196832000,1000,0.0000,1,16,0.0273,0,0,13052,ok
rw-n-indexed,ala,24,3,200,0,65536,9,ReadWriteN,2055777.3460,2055931.6476,2032.5955,2053980.6003,2058036.9966,0.0989,11674.4160,411962,11273,411962,2.6635,0.0274,100.0000,7926,155638,442358,554242,64,10,0.3125,0.0027,94.9041,4795590000,3806000,0.0793,2,187,0.4539,0,0,13052,ok
rw-n-large,ala,1,3,200,0,65536,256,ReadWriteN,677517.4047,677785.7373,1817.4578,676117.3634,679722.4438,0.2681,1475.9768,135596,0,135596,0.0000,0.0000,100.0000,1463,1591,2679,3411,64,9,0.2813,0.0191,0.0000,199815000,0,0.0000,1,1,0.0074,0,0,13176,ok
rw-n-large,ala,2,3,200,0,65536,256,ReadWriteN,474080.3941,473189.5924,1600.7119,471341.6465,474146.7367,0.3383,4218.6938,94883,49712,94883,34.3802,0.5239,100.0000,2935,23543,34807,33920,64,9,0.2813,0.0067,2.1746,399638000,0,0.0000,1,2,0.0211,0,0,13176,ok
rw-n-large,ala,4,3,200,0,65536,256,ReadWriteN,344971.5519,344959.0804,293.2869,344659.7567,345245.9326,0.0850,11595.1590,69043,87665,69043,55.9416,1.2697,100.0000,5879,55287,69623,74428,64,9,0.2813,0.0024,12.0525,799157000,0,0.0000,1,3,0.0435,0,0,13176,ok
rw-n-large,ala,8,3,200,0,65536,256,ReadWriteN,376042.3343,376281.9246,3010.9012,373397.9766,379405.4630,0.8002,21274.2005,75268,196458,75268,72.3000,2.6101,100.0000,8695,118775,188407,211734,64,9,0.2813,0.0013,32.5641,1598680000,0,0.0000,1,0,0.0000,0,0,13176,ok
rw-n-large,ala,16,3,200,0,65536,256,ReadWriteN,407471.8672,407199.1184,1128.4989,405959.2424,408166.2456,0.2771,39266.5145,81548,416579,81548,83.6291,5.1084,100.0000,21489,204785,344049,360180,64,15,0.4688,0.0012,44.4049,3197048000,0,0.0000,1,10,0.1226,0,0,13176,ok
rw-n-large,ala,24,3,200,0,65536,256,ReadWriteN,376630.0843,363357.7533,23029.8537,336765.1832,376677.9925,6.3381,63723.0030,75396,572912,75396,88.3703,7.5987,100.0000,42997,311285,622581,629362,64,11,0.3438,0.0005,48.7038,4782443000,7585000,0.1583,8,218,2.8914,0,0,13604,ok
